date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,257,73,23,0,13,0,0,0,0,0,0,0
2025-01-02,341,91,35,1,13,0,0,0,0,0,0,0
2025-01-03,322,89,36,0,7,0,1,0,0,0,0,1
2025-01-04,251,72,37,2,12,0,0,0,0,0,0,0
2025-01-05,277,61,34,1,9,0,0,0,0,0,0,0
2025-01-06,143,33,19,0,3,0,0,0,0,0,0,0
2025-01-07,181,44,20,3,5,0,0,0,0,0,0,0
2025-01-08,153,48,27,1,6,0,0,0,0,0,0,0
2025-01-09,159,28,19,1,15,0,0,0,0,0,0,0
2025-01-10,137,40,20,2,4,0,1,0,0,0,0,1
2025-01-11,224,70,24,0,5,0,0,0,0,0,0,0
2025-01-12,262,91,39,0,10,0,0,0,0,0,0,0
2025-01-13,233,63,29,2,9,0,0,0,0,0,0,0
2025-01-14,165,53,25,0,1,0,1,0,0,0,1,0
2025-01-15,191,64,19,1,8,0,0,0,0,0,0,0
2025-01-16,177,53,24,2,6,0,0,0,0,0,0,0
2025-01-17,195,70,27,1,5,0,1,0,0,0,1,0
2025-01-18,334,121,47,0,12,0,1,0,0,0,0,1
2025-01-19,1226,319,73,1,9,0,2,0,0,0,1,1
2025-01-20,234,68,30,0,11,0,0,0,0,0,0,0
2025-01-21,224,78,28,1,10,0,1,0,0,0,0,1
2025-01-22,200,67,37,0,9,0,2,0,0,0,1,1
2025-01-23,231,66,24,1,8,0,0,0,0,0,0,0
2025-01-24,223,75,31,1,3,0,0,0,0,0,0,0
2025-01-25,291,115,51,1,6,0,1,0,0,0,0,1
2025-01-26,339,133,57,1,8,0,0,0,0,0,0,0
2025-01-27,237,94,24,1,10,0,0,0,0,0,0,0
2025-01-28,226,86,29,0,7,0,0,0,0,0,0,0
2025-01-29,211,87,21,0,2,0,0,0,0,0,0,0
2025-01-30,190,64,26,0,4,0,0,0,0,0,0,0
2025-01-31,219,80,29,2,6,0,0,0,0,0,0,0
2025-02-01,282,107,30,3,11,0,0,0,0,0,0,0
2025-02-02,335,131,52,4,18,0,0,0,0,0,0,0
2025-02-03,218,64,16,0,11,0,0,0,0,0,0,0
2025-02-04,201,87,23,2,10,0,0,0,0,0,0,0
2025-02-05,174,76,30,3,6,0,0,0,0,0,0,0
2025-02-06,177,78,22,2,6,0,0,0,0,0,0,0
2025-02-07,198,82,27,2,8,0,0,0,0,0,0,0
