date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,12675,5382,3490,99,1775,0,5,0,0,0,4,6
2025-01-02,21347,16354,6239,205,2788,0,7,0,0,4,2,8
2025-01-03,17274,7909,5482,183,2215,0,13,4,0,0,4,18
2025-01-04,15281,6882,4880,151,1740,0,11,0,0,4,6,12
2025-01-05,13651,6619,4212,138,1666,0,9,2,0,2,8,6
2025-01-06,10072,4564,3248,95,1425,0,5,0,0,2,2,6
2025-01-07,9378,4512,2972,71,1389,0,8,0,0,0,4,12
2025-01-08,9352,5821,2867,61,1179,0,5,0,0,4,4,2
2025-01-09,9353,5308,2941,73,1053,0,6,0,0,0,6,6
2025-01-10,10295,6143,3606,89,1174,0,5,0,0,0,2,8
2025-01-11,13762,6052,4429,111,1529,0,7,0,0,2,4,8
2025-01-12,16042,6976,5154,148,1760,0,9,2,2,2,6,6
2025-01-13,13378,5970,4326,103,1399,0,10,0,2,4,4,10
2025-01-14,9485,5112,2939,61,965,0,5,0,0,0,4,6
2025-01-15,9800,5342,3065,66,1130,0,11,0,0,0,8,14
2025-01-16,9183,5208,2862,70,1062,0,3,0,0,0,0,6
2025-01-17,10221,5669,3342,67,1193,0,5,0,0,0,2,8
2025-01-18,14658,6783,4615,97,1470,0,8,0,0,0,6,10
2025-01-19,17742,7617,4862,138,1589,0,16,0,0,4,18,10
2025-01-20,10312,5643,3196,69,1108,0,11,0,0,2,8,12
2025-01-21,10119,5547,3071,64,1119,0,5,0,0,0,4,6
2025-01-22,9949,5501,2862,57,1046,0,7,0,0,2,4,8
2025-01-23,9411,5521,2799,53,1001,0,4,0,0,0,4,4
2025-01-24,10201,5773,3277,57,1129,0,3,0,0,0,0,6
2025-01-25,15027,6597,4874,122,1539,0,12,0,4,4,2,14
2025-01-26,15532,7361,4868,105,1507,0,12,2,2,4,6,10
2025-01-27,10426,5783,3219,92,1133,0,10,0,0,4,0,16
2025-01-28,10166,6346,3206,72,1036,0,5,0,0,0,0,10
2025-01-29,10034,6283,3010,61,1077,0,5,0,0,0,6,4
2025-01-30,9999,6041,3246,77,1113,0,11,2,0,6,2,12
2025-01-31,10460,6090,3405,85,1130,0,5,0,0,4,4,2
2025-02-01,15649,7498,5112,139,1610,0,2,0,0,0,0,4
2025-02-02,15688,8376,5199,121,1709,0,6,0,0,4,2,6
2025-02-03,10985,6191,3518,93,1136,0,9,4,0,0,2,12
