date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,12675,5382,3490,99,1775,0,5,0,0,0,4,6
2025-01-02,21347,16354,6239,205,2788,0,7,0,0,4,2,8
2025-01-03,17274,7909,5482,183,2215,0,13,4,0,0,4,18
2025-01-04,15281,6882,4880,151,1740,0,11,0,0,4,6,12
2025-01-05,13651,6619,4212,138,1666,0,9,2,0,2,8,6
2025-01-06,10072,4564,3248,95,1425,0,5,0,0,2,2,6
2025-01-07,9378,4512,2972,71,1389,0,8,0,0,0,4,12
2025-01-08,9352,5821,2867,61,1179,0,5,0,0,4,4,2
2025-01-09,9353,5308,2941,73,1053,0,6,0,0,0,6,6
2025-01-10,10295,6143,3606,89,1174,0,5,0,0,0,2,8
2025-01-11,13762,6052,4429,111,1529,0,7,0,0,2,4,8
2025-01-12,16042,6976,5154,148,1760,0,9,2,2,2,6,6
2025-01-13,13378,5970,4326,103,1399,0,10,0,2,4,4,10
2025-01-14,9485,5112,2939,61,965,0,5,0,0,0,4,6
2025-01-15,9800,5342,3065,66,1130,0,11,0,0,0,8,14
2025-01-16,9183,5208,2862,70,1062,0,3,0,0,0,0,6
