date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,987,401,69,10,76,0,0,0,0,0,0,0
2025-01-02,1347,469,83,15,112,4,1,0,0,0,1,0
2025-01-03,1224,467,97,19,102,0,0,0,0,0,0,0
2025-01-04,1029,329,72,11,63,4,1,0,0,0,1,0
2025-01-05,781,278,80,8,38,0,0,0,0,0,0,0
2025-01-06,648,193,34,4,29,0,0,0,0,0,0,0
2025-01-07,651,208,40,2,40,0,0,0,0,0,0,0
2025-01-08,573,232,48,7,39,0,0,0,0,0,0,0
2025-01-09,552,202,30,14,16,0,0,0,0,0,0,0
2025-01-10,521,218,23,2,27,5,1,0,0,0,0,1
2025-01-11,974,346,57,8,52,4.67,3,0,0,0,1,2
2025-01-12,1102,392,86,5,61,0,0,0,0,0,0,0
2025-01-13,925,322,56,2,64,3.5,2,0,0,1,1,0
2025-01-14,622,207,50,4,32,0,0,0,0,0,0,0
2025-01-15,684,218,66,9,23,0,0,0,0,0,0,0
2025-01-16,684,244,51,2,31,0,0,0,0,0,0,0
2025-01-17,761,284,46,2,44,5,1,0,0,0,0,1
2025-01-18,1071,363,70,6,39,0,0,0,0,0,0,0
2025-01-19,1094,416,71,5,64,0,0,0,0,0,0,0
2025-01-20,681,298,39,1,34,0,0,0,0,0,0,0
2025-01-21,741,265,62,6,41,0,0,0,0,0,0,0
2025-01-22,718,239,59,5,41,0,0,0,0,0,0,0
2025-01-23,706,278,58,6,43,5,1,0,0,0,0,1
2025-01-24,753,293,58,2,44,5,1,0,0,0,0,1
2025-01-25,1160,397,70,2,49,3,1,0,0,1,0,0
2025-01-26,1124,404,71,5,63,5,1,0,0,0,0,1
2025-01-27,746,279,51,9,48,4,2,0,0,1,0,1
2025-01-28,706,336,48,4,30,5,1,0,0,0,0,1
2025-01-29,746,301,33,8,30,0,0,0,0,0,0,0
2025-01-30,710,303,32,3,31,5,1,0,0,0,0,1
2025-01-31,714,289,50,6,33,0,0,0,0,0,0,0
2025-02-01,1079,432,51,7,57,0,0,0,0,0,0,0
2025-02-02,1104,469,96,5,61,3,1,0,0,1,0,0
2025-02-03,706,287,45,4,23,5,2,0,0,0,0,2
2025-02-04,714,284,48,4,38,0,0,0,0,0,0,0
2025-02-05,735,268,53,5,31,0,0,0,0,0,0,0
2025-02-06,715,287,54,3,28,0,0,0,0,0,0,0
2025-02-07,701,303,51,4,32,0,0,0,0,0,0,0
2025-02-08,886,335,43,1,48,0,0,0,0,0,0,0
2025-02-09,1012,383,60,7,56,0,0,0,0,0,0,0
2025-02-10,847,333,57,11,48,0,0,0,0,0,0,0
2025-02-11,1064,378,63,9,63,0,0,0,0,0,0,0
2025-02-12,676,322,35,9,38,4.5,2,0,0,0,1,1
2025-02-13,736,288,46,4,29,0,0,0,0,0,0,0
2025-02-14,829,306,48,7,62,0,0,0,0,0,0,0
2025-02-15,1165,413,73,9,76,3.67,3,0,0,1,2,0
2025-02-16,1210,522,102,7,83,2.67,3,0,1,2,0,0
2025-02-17,708,334,68,4,45,0,0,0,0,0,0,0
2025-02-18,678,248,60,6,41,0,0,0,0,0,0,0
2025-02-19,605,260,38,10,39,0,0,0,0,0,0,0
2025-02-20,592,285,36,8,30,2,1,0,1,0,0,0
2025-02-21,595,251,38,4,36,0,0,0,0,0,0,0
2025-02-22,1079,373,65,4,53,3,1,0,0,1,0,0
2025-02-23,1247,400,100,8,65,0,0,0,0,0,0,0
2025-02-24,1074,602,44,14,82,0,0,0,0,0,0,0
2025-02-25,579,359,54,8,45,0,0,0,0,0,0,0
2025-02-26,586,361,63,14,56,4,1,0,0,0,1,0
2025-02-27,755,366,64,7,42,5,1,0,0,0,0,1
2025-02-28,858,359,86,7,71,0,0,0,0,0,0,0
2025-03-01,969,526,118,9,71,4,2,0,0,1,0,1
2025-03-02,1221,484,88,4,107,0,0,0,0,0,0,0
2025-03-03,809,347,51,7,51,0,0,0,0,0,0,0
2025-03-04,784,359,60,10,57,0,0,0,0,0,0,0
2025-03-05,791,351,69,4,58,0,0,0,0,0,0,0
2025-03-06,779,348,69,5,41,0,0,0,0,0,0,0
2025-03-07,875,403,85,9,53,0,0,0,0,0,0,0
2025-03-08,1219,513,110,8,72,0,0,0,0,0,0,0
2025-03-09,1214,591,132,9,65,4.5,2,0,0,0,1,1
2025-03-10,922,390,87,6,51,0,0,0,0,0,0,0
2025-03-11,900,368,68,8,53,4,1,0,0,0,1,0
2025-03-12,840,401,69,12,44,4,3,0,0,1,1,1
2025-03-13,833,387,90,11,56,0,0,0,0,0,0,0
2025-03-14,847,438,70,7,50,0,0,0,0,0,0,0
2025-03-15,1085,542,113,6,84,0,0,0,0,0,0,0
2025-03-16,1219,609,120,7,83,3.5,2,0,0,1,1,0
2025-03-17,896,453,57,3,63,0,0,0,0,0,0,0
2025-03-18,667,342,67,3,33,0,0,0,0,0,0,0
2025-03-19,632,326,60,6,58,0,0,0,0,0,0,0
2025-03-20,835,443,77,7,47,0,0,0,0,0,0,0
2025-03-21,722,364,82,7,69,0,0,0,0,0,0,0
2025-03-22,981,459,128,8,71,3,1,0,0,1,0,0
2025-03-23,930,521,118,6,63,5,1,0,0,0,0,1
2025-03-24,708,357,62,9,53,0,0,0,0,0,0,0
2025-03-25,665,374,80,9,45,3,1,0,0,1,0,0
2025-03-26,636,330,88,7,44,5,2,0,0,0,0,2
2025-03-27,635,309,66,9,72,1,1,1,0,0,0,0
2025-03-28,692,335,79,10,53,4,1,0,0,0,1,0
2025-03-29,967,433,123,17,88,4,1,0,0,0,1,0
2025-03-30,898,464,100,10,86,0,0,0,0,0,0,0
2025-03-31,639,295,79,7,74,4,1,0,0,0,1,0
2025-04-01,546,317,78,15,66,0,0,0,0,0,0,0
2025-04-02,616,314,67,9,68,3,1,0,0,1,0,0
2025-04-03,908,400,84,10,82,4,1,0,0,0,1,0
2025-04-04,1008,453,90,8,67,0,0,0,0,0,0,0
2025-04-05,1388,608,119,5,109,3,1,0,0,1,0,0
2025-04-06,1355,647,135,9,100,5,1,0,0,0,0,1
2025-04-07,978,551,95,3,84,4,1,0,0,0,1,0
2025-04-08,951,521,110,7,77,3.5,2,0,1,0,0,1
2025-04-09,933,506,110,15,81,1,1,1,0,0,0,0
2025-04-10,951,449,105,6,82,3,1,0,0,1,0,0
2025-04-11,1068,533,103,13,75,3.5,2,0,1,0,0,1
2025-04-12,1608,658,181,13,101,0,0,0,0,0,0,0
2025-04-13,1487,717,131,16,97,5,1,0,0,0,0,1
